  time            xs              dxs/dt          xu              dxu/dt

  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  9.6000000e-002  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  1.9200000e-001  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  2.8800000e-001  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  3.8400000e-001  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  4.8000000e-001  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  5.7600000e-001  1.2782370e-003  6.8176664e-002  1.6969313e-002  5.3201977e-001
  6.7200000e-001  2.2545845e-002  4.0155075e-001  7.3436437e-002  5.7388726e-001
  7.6800000e-001  7.3499423e-002  5.6935416e-001  1.0291641e-001 -3.1419804e-002
  8.6400000e-001  1.1011305e-001  1.0320030e-001  6.7329254e-002 -6.1446582e-001
  9.6000000e-001  9.0790895e-002 -4.7070979e-001  1.2604513e-002 -3.4901109e-001
  1.0560000e+000  3.3813652e-002 -6.0819884e-001 -6.6878567e-004 -3.5793123e-002
  1.1520000e+000 -1.6281916e-002 -3.9754275e-001 -4.2038360e-003 -1.1512960e-002
  1.2480000e+000 -3.9652797e-002 -9.0209075e-002 -4.1655821e-003  1.3941213e-002
  1.3440000e+000 -3.6298394e-002  1.3768792e-001 -2.2425770e-003  2.3868739e-002
  1.4400000e+000 -1.8110525e-002  2.1587685e-001 -5.3492946e-005  1.9620696e-002
  1.5360000e+000  1.0526930e-003  1.6757455e-001  1.3055176e-003  8.2347664e-003
  1.6320000e+000  1.2286064e-002  6.3529589e-002  1.5545582e-003 -2.4001698e-003
  1.7280000e+000  1.3680468e-002 -2.8248388e-002  1.0132442e-003 -7.7337185e-003
  1.8240000e+000  8.4476065e-003 -7.1738585e-002  2.3384845e-004 -7.6324050e-003
  1.9200000e+000  1.4941161e-003 -6.6385219e-002 -3.4691089e-004 -4.1402858e-003
  2.0160000e+000 -3.4166153e-003 -3.3583858e-002 -5.4734505e-004 -1.5865959e-004
  2.1120000e+000 -4.8953798e-003  1.3602938e-003 -4.2579317e-004  2.5014915e-003
  2.2080000e+000 -3.6226900e-003  2.2109144e-002 -1.6283562e-004  2.8629612e-003
  2.3040000e+000 -1.2340176e-003  2.4948005e-002  7.0476842e-005  1.8739575e-003
  2.4000000e+000  7.7354944e-004  1.5582894e-002  1.8164731e-004  4.5037944e-004
  2.4960000e+000  1.6552982e-003  2.9318598e-003  1.6873207e-004 -6.1704588e-004
  2.5920000e+000  1.4573053e-003 -6.0975161e-003  8.5788041e-005 -9.9545491e-004
  2.6880000e+000  6.8810354e-004 -8.8986890e-003 -3.0524131e-006 -7.8269938e-004
  2.7840000e+000 -8.7727818e-005 -6.6502178e-003 -5.5919657e-005 -3.0445824e-004
  2.8800000e+000 -5.2244529e-004 -2.3187509e-003 -6.3331479e-005  1.2402414e-004
  2.9760000e+000 -5.5587002e-004  1.3473945e-003 -3.9523169e-005  2.7765240e-004
